ind,days,Cultivar,Sex,new.ad,rep
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Moscato,NA,0,Bf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Barbera,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Brachetto,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
NA,NA,Moscato,NA,0,Cf
