Data Set,Target,Biological_Group_Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
1-SYBR,EF1alpha,BA84_35dpe_237,,0.84111,-0.24964,0.34297,0.34297,,0.19801,0.19801,,,,,,,,,,,,,,,,,,,,,,3,16.04,0.59692,0.34463,
1-SYBR,EF1alpha,BA84_35dpe_240,,0.91102,-0.13444,0.21807,0.21807,,0.12590,0.12590,,,,,,,,,,,,,,,,,,,,,,3,15.93,0.35042,0.20232,
1-SYBR,EF1alpha,BA84_35dpe_241,,1.03514,0.04983,0.45838,0.45838,,0.26464,0.26464,,,,,,,,,,,,,,,,,,,,,,3,15.74,0.64825,0.37427,
7-EF1alpha,EF1alpha,BA84_35dpe_2648,,1.02759,0.03927,0.15387,0.15387,,0.08884,0.08884,,,,,,,,,,,,,,,,,,,,,,3,15.75,0.21920,0.12656,
7-EF1alpha,EF1alpha,BA84_35dpe_2649,,1.22709,0.29524,0.03634,0.03634,,0.02098,0.02098,,,,,,,,,,,,,,,,,,,,,,3,15.49,0.04335,0.02503,
7-EF1alpha,EF1alpha,BA84_35dpe_2650,,0.88228,-0.18069,0.04557,0.04557,,0.02631,0.02631,,,,,,,,,,,,,,,,,,,,,,3,15.97,0.07561,0.04365,
7-EF1alpha,EF1alpha,BA84_35dpe_2651,,1.04497,0.06346,0.06567,0.06567,,0.03791,0.03791,,,,,,,,,,,,,,,,,,,,,,3,15.73,0.09200,0.05311,
7-EF1alpha,EF1alpha,BA84_35dpe_2652,,1.29313,0.37087,0.21911,0.21911,,0.12650,0.12650,,,,,,,,,,,,,,,,,,,,,,3,15.41,0.24805,0.14321,
7-EF1alpha,EF1alpha,BA84_35dpe_2653,,1.20114,0.26440,0.10124,0.10124,,0.05845,0.05845,,,,,,,,,,,,,,,,,,,,,,3,15.52,0.12339,0.07124,
7-EF1alpha,EF1alpha,BA84_35dpe_2654,,1.50708,0.59175,0.08958,0.08958,,0.05172,0.05172,,,,,,,,,,,,,,,,,,,,,,3,15.19,0.08701,0.05024,
7-EF1alpha,EF1alpha,BA84_35dpe_2655,,1.11322,0.15474,0.26808,0.26808,,0.15478,0.15478,,,,,,,,,,,,,,,,,,,,,,3,15.63,0.35253,0.20353,
7-EF1alpha,EF1alpha,BA84_35dpe_2656,,1.20223,0.26571,0.08942,0.08942,,0.05162,0.05162,,,,,,,,,,,,,,,,,,,,,,3,15.52,0.10888,0.06286,
7-EF1alpha,EF1alpha,BA84_35dpe_2657,,1.38123,0.46596,0.16010,0.16010,,0.09243,0.09243,,,,,,,,,,,,,,,,,,,,,,3,15.32,0.16968,0.09797,
2-SYBR,EF1alpha,BA84_35dpe_98,,0.66922,-0.57944,0.29407,0.29407,,0.16978,0.16978,,,,,,,,,,,,,,,,,,,,,,3,16.38,0.64328,0.37140,
2-SYBR,EF1alpha,BA84_35dpe_99,,0.53999,-0.88898,0.28184,0.28184,,0.16272,0.16272,,,,,,,,,,,,,,,,,,,,,,3,16.69,0.76407,0.44114,
2-SYBR,EF1alpha,BA84_male_103,,0.21972,-2.18626,0.00000,0.00000,,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,1,18.01,0.00000,0.00000,
2-SYBR,EF1alpha,BA84_male_1918,,0.55039,-0.86148,0.05669,0.05669,,0.03273,0.03273,,,,,,,,,,,,,,,,,,,,,,3,16.66,0.15079,0.08706,
2-SYBR,EF1alpha,BA84_male_1919,,0.41232,-1.27816,0.11002,0.11002,,0.06352,0.06352,,,,,,,,,,,,,,,,,,,,,,3,17.09,0.39060,0.22552,
2-SYBR,EF1alpha,BA84_male_1920,,0.33920,-1.55980,0.14275,0.14275,,0.08242,0.08242,,,,,,,,,,,,,,,,,,,,,,3,17.37,0.61610,0.35571,
1-SYBR,EF1alpha,BA84_male_221,,0.53240,-0.90942,0.22307,0.22307,,0.12879,0.12879,,,,,,,,,,,,,,,,,,,,,,3,16.71,0.61337,0.35413,
1-SYBR,EF1alpha,BA84_male_242,,1.54351,0.62622,0.92494,0.92494,,0.53401,0.53401,,,,,,,,,,,,,,,,,,,,,,3,15.16,0.87725,0.50648,
10-SYBR,EF1alpha,BA84_male_2691,,1.39540,0.48068,0.30214,0.30214,,0.21364,0.21364,,,,,,,,,,,,,,,,,,,,,,2,15.30,0.31698,0.22414,
2-SYBR,EF1alpha,BA84_male_89,,0.86199,-0.21426,0.16281,0.16281,,0.09400,0.09400,,,,,,,,,,,,,,,,,,,,,,3,16.01,0.27651,0.15964,
2-SYBR,EF1alpha,BRA20_14dpe_104,,0.54056,-0.88747,0.23749,0.23749,,0.13711,0.13711,,,,,,,,,,,,,,,,,,,,,,3,16.69,0.64315,0.37133,
2-SYBR,EF1alpha,BRA20_14dpe_105,,0.42219,-1.24403,0.24354,0.24354,,0.14061,0.14061,,,,,,,,,,,,,,,,,,,,,,3,17.05,0.84447,0.48755,
1-SYBR,EF1alpha,BRA20_14dpe_110,,0.84955,-0.23523,0.11667,0.11667,,0.06736,0.06736,,,,,,,,,,,,,,,,,,,,,,3,16.03,0.20104,0.11607,
1-SYBR,EF1alpha,BRA20_14dpe_228,,0.76318,-0.38991,0.09719,0.09719,,0.05611,0.05611,,,,,,,,,,,,,,,,,,,,,,3,16.19,0.18643,0.10764,
10-SYBR,EF1alpha,BRA20_14dpe_2669,,0.67579,-0.56535,0.07298,0.07298,,0.04214,0.04214,,,,,,,,,,,,,,,,,,,,,,3,16.36,0.15810,0.09128,
10-SYBR,EF1alpha,BRA20_14dpe_2670,,0.47975,-1.05963,0.03465,0.03465,,0.02001,0.02001,,,,,,,,,,,,,,,,,,,,,,3,16.87,0.10573,0.06104,
10-SYBR,EF1alpha,BRA20_14dpe_2679,,0.59656,-0.74526,0.12222,0.12222,,0.07056,0.07056,,,,,,,,,,,,,,,,,,,,,,3,16.55,0.29991,0.17316,
10-SYBR,EF1alpha,BRA20_14dpe_2682,,1.03018,0.04290,0.14404,0.14404,,0.08316,0.08316,,,,,,,,,,,,,,,,,,,,,,3,15.75,0.20468,0.11817,
10-SYBR,EF1alpha,BRA20_14dpe_2683,,0.82255,-0.28183,0.14400,0.14400,,0.08314,0.08314,,,,,,,,,,,,,,,,,,,,,,3,16.08,0.25628,0.14796,
10-SYBR,EF1alpha,BRA20_14dpe_2684,,0.89227,-0.16446,0.13686,0.13686,,0.07902,0.07902,,,,,,,,,,,,,,,,,,,,,,3,15.96,0.22455,0.12964,
2-SYBR,EF1alpha,BRA20_14dpe_94,,0.47201,-1.08310,0.11908,0.11908,,0.06875,0.06875,,,,,,,,,,,,,,,,,,,,,,3,16.89,0.36933,0.21323,
2-SYBR,EF1alpha,BRA20_18dpe_1916,,0.56314,-0.82843,0.29050,0.29050,,0.16772,0.16772,,,,,,,,,,,,,,,,,,,,,,3,16.63,0.75516,0.43599,
10-SYBR,EF1alpha,BRA20_18dpe_2685,,0.41826,-1.25753,0.01293,0.01293,,0.00914,0.00914,,,,,,,,,,,,,,,,,,,,,,2,17.07,0.04525,0.03199,
1-SYBR,EF1alpha,BRA20_25dpe_225,,0.77447,-0.36872,0.33896,0.33896,,0.19570,0.19570,,,,,,,,,,,,,,,,,,,,,,3,16.16,0.64071,0.36992,
1-SYBR,EF1alpha,BRA20_25dpe_226,,0.61437,-0.70283,0.26584,0.26584,,0.15348,0.15348,,,,,,,,,,,,,,,,,,,,,,3,16.50,0.63346,0.36573,
