"File","waveforms","time"
"St19_1-ch1_BA84male.converted.ANA",7,16351.17
"St19_1-ch1_BA84male.converted.ANA",2,16394.21
"St19_1-ch1_BA84male.converted.ANA",7,16421.99
"St19_1-ch1_BA84male.converted.ANA",11,16479.82
"St19_1-ch1_BA84male.converted.ANA",7,16482.89
"St19_1-ch1_BA84male.converted.ANA",11,16490.76
"St19_1-ch1_BA84male.converted.ANA",7,16500.47
"St19_1-ch1_BA84male.converted.ANA",2,16509.94
"St19_1-ch1_BA84male.converted.ANA",7,16530.41
"St19_1-ch1_BA84male.converted.ANA",11,16532.75
"St19_1-ch1_BA84male.converted.ANA",7,16535.29
"St19_1-ch1_BA84male.converted.ANA",11,16548.5
"St19_1-ch1_BA84male.converted.ANA",7,16553.47
"St19_1-ch1_BA84male.converted.ANA",11,16585.84
"St19_1-ch1_BA84male.converted.ANA",2,16589.53
"St19_1-ch1_BA84male.converted.ANA",7,16604.3
"St19_1-ch1_BA84male.converted.ANA",11,16611.42
"St19_1-ch1_BA84male.converted.ANA",2,16616.5
"St19_1-ch1_BA84male.converted.ANA",7,16638.93
"St19_1-ch1_BA84male.converted.ANA",11,16643.85
"St19_1-ch1_BA84male.converted.ANA",7,16649.85
"St19_1-ch1_BA84male.converted.ANA",11,16663.46
"St19_1-ch1_BA84male.converted.ANA",7,16671.55
"St19_1-ch1_BA84male.converted.ANA",11,16900.41
"St19_1-ch1_BA84male.converted.ANA",7,16909.52
"St19_1-ch1_BA84male.converted.ANA",11,16920.13
"St19_1-ch1_BA84male.converted.ANA",7,16926.64
"St19_1-ch1_BA84male.converted.ANA",11,16991.82
"St19_1-ch1_BA84male.converted.ANA",7,16999.72
"St19_1-ch1_BA84male.converted.ANA",11,17020.56
"St19_1-ch1_BA84male.converted.ANA",7,17025.21
"St19_1-ch1_BA84male.converted.ANA",11,17192.05
"St19_1-ch1_BA84male.converted.ANA",2,17203.34
"St19_1-ch1_BA84male.converted.ANA",7,17219.04
"St19_1-ch1_BA84male.converted.ANA",11,17242.6
"St19_1-ch1_BA84male.converted.ANA",7,17251.24
"St19_1-ch1_BA84male.converted.ANA",11,17484.22
"St19_1-ch1_BA84male.converted.ANA",7,17491.22
"St19_1-ch1_BA84male.converted.ANA",11,17510.06
"St19_1-ch1_BA84male.converted.ANA",7,17520.87
"St19_1-ch1_BA84male.converted.ANA",11,17560.09
"St19_1-ch1_BA84male.converted.ANA",2,17563.12
"St19_1-ch1_BA84male.converted.ANA",7,17663.56
"St19_1-ch1_BA84male.converted.ANA",11,17670.49
"St19_1-ch1_BA84male.converted.ANA",2,17672.73
"St19_1-ch1_BA84male.converted.ANA",7,17689.97
"St19_1-ch1_BA84male.converted.ANA",11,17720.5
"St19_1-ch1_BA84male.converted.ANA",7,17727.52
"St19_1-ch1_BA84male.converted.ANA",11,17747.71
"St19_1-ch1_BA84male.converted.ANA",2,17752.38
"St19_1-ch1_BA84male.converted.ANA",7,17770.56
"St19_1-ch1_BA84male.converted.ANA",2,17829.05
"St19_1-ch1_BA84male.converted.ANA",7,17934.04
"St19_1-ch1_BA84male.converted.ANA",11,18031.19
"St19_1-ch1_BA84male.converted.ANA",7,18036.1
"St19_1-ch1_BA84male.converted.ANA",11,18073.12
"St19_1-ch1_BA84male.converted.ANA",7,18081.79
"St19_1-ch1_BA84male.converted.ANA",2,18092.71
"St19_1-ch1_BA84male.converted.ANA",7,18126.42
"St19_1-ch1_BA84male.converted.ANA",11,18177.46
"St19_1-ch1_BA84male.converted.ANA",7,18179.79
"St19_1-ch1_BA84male.converted.ANA",2,18209.57
"St19_1-ch1_BA84male.converted.ANA",7,18223.93
"St19_1-ch1_BA84male.converted.ANA",11,18261.32
"St19_1-ch1_BA84male.converted.ANA",7,18267.01
"St19_1-ch1_BA84male.converted.ANA",11,18349.08
"St19_1-ch1_BA84male.converted.ANA",7,18353.94
"St19_1-ch1_BA84male.converted.ANA",2,18503.32
"St19_1-ch1_BA84male.converted.ANA",7,18647.9
"St19_1-ch1_BA84male.converted.ANA",2,18752.48
"St19_1-ch1_BA84male.converted.ANA",7,18756.15
"St19_1-ch1_BA84male.converted.ANA",2,18763.08
"St19_1-ch1_BA84male.converted.ANA",7,18834.88
"St19_1-ch1_BA84male.converted.ANA",11,18840.55
"St19_1-ch1_BA84male.converted.ANA",7,18844.22
"St19_1-ch1_BA84male.converted.ANA",11,18848.92
"St19_1-ch1_BA84male.converted.ANA",7,18852.59
"St19_1-ch1_BA84male.converted.ANA",2,18873.86
"St19_1-ch1_BA84male.converted.ANA",7,18899.83
"St19_1-ch1_BA84male.converted.ANA",11,18953.26
"St19_1-ch1_BA84male.converted.ANA",7,18964.74
"St19_1-ch1_BA84male.converted.ANA",11,18981.19
"St19_1-ch1_BA84male.converted.ANA",7,18988.29
"St19_1-ch1_BA84male.converted.ANA",2,19094.36
"St19_1-ch1_BA84male.converted.ANA",7,19156.96
"St19_1-ch1_BA84male.converted.ANA",2,19191.76
"St19_1-ch1_BA84male.converted.ANA",7,19205.59
"St19_1-ch1_BA84male.converted.ANA",2,19315.65
"St19_1-ch1_BA84male.converted.ANA",7,19357.77
"St19_1-ch1_BA84male.converted.ANA",2,19544.38
"St19_1-ch1_BA84male.converted.ANA",7,19563.82
"St19_1-ch1_BA84male.converted.ANA",11,19633.08
"St19_1-ch1_BA84male.converted.ANA",7,19636.9
"St19_1-ch1_BA84male.converted.ANA",11,19679.72
"St19_1-ch1_BA84male.converted.ANA",7,19686.83
"St19_1-ch1_BA84male.converted.ANA",11,19717.04
"St19_1-ch1_BA84male.converted.ANA",7,19734.71
"St19_1-ch1_BA84male.converted.ANA",11,19779.45
"St19_1-ch1_BA84male.converted.ANA",7,19786.24
"St19_1-ch1_BA84male.converted.ANA",11,19908.01
"St19_1-ch1_BA84male.converted.ANA",7,19918.12
"St19_1-ch1_BA84male.converted.ANA",2,19988.26
"St19_1-ch1_BA84male.converted.ANA",7,20063.32
"St19_1-ch1_BA84male.converted.ANA",11,20309.7
"St19_1-ch1_BA84male.converted.ANA",7,20314.93
"St19_1-ch1_BA84male.converted.ANA",11,20342.69
"St19_1-ch1_BA84male.converted.ANA",7,20349.35
"St19_1-ch1_BA84male.converted.ANA",11,20365.52
"St19_1-ch1_BA84male.converted.ANA",7,20373.16
"St19_1-ch1_BA84male.converted.ANA",11,20441.1
"St19_1-ch1_BA84male.converted.ANA",7,20447.01
"St19_1-ch1_BA84male.converted.ANA",11,20490.06
"St19_1-ch1_BA84male.converted.ANA",7,20495.48
"St19_1-ch1_BA84male.converted.ANA",11,20618.13
"St19_1-ch1_BA84male.converted.ANA",7,20623.31
"St19_1-ch1_BA84male.converted.ANA",11,20761.28
"St19_1-ch1_BA84male.converted.ANA",7,20766
"St19_1-ch1_BA84male.converted.ANA",11,20789.08
"St19_1-ch1_BA84male.converted.ANA",7,20792.54
"St19_1-ch1_BA84male.converted.ANA",11,20985.11
"St19_1-ch1_BA84male.converted.ANA",7,20990.14
"St19_1-ch1_BA84male.converted.ANA",11,20996.91
"St19_1-ch1_BA84male.converted.ANA",7,21011.07
"St19_1-ch1_BA84male.converted.ANA",11,21017.35
"St19_1-ch1_BA84male.converted.ANA",7,21024.52
"St19_1-ch1_BA84male.converted.ANA",2,21046.79
"St19_1-ch1_BA84male.converted.ANA",7,21069.1
"St19_1-ch1_BA84male.converted.ANA",2,21075.73
"St19_1-ch1_BA84male.converted.ANA",7,21094.64
"St19_1-ch1_BA84male.converted.ANA",2,21127.71
"St19_1-ch1_BA84male.converted.ANA",7,21142.73
"St19_1-ch1_BA84male.converted.ANA",11,21167.42
"St19_1-ch1_BA84male.converted.ANA",7,21174.78
"St19_1-ch1_BA84male.converted.ANA",11,21205.66
"St19_1-ch1_BA84male.converted.ANA",7,21215.92
"St19_1-ch1_BA84male.converted.ANA",11,21311.96
"St19_1-ch1_BA84male.converted.ANA",7,21317.63
"St19_1-ch1_BA84male.converted.ANA",11,21354.52
"St19_1-ch1_BA84male.converted.ANA",7,21358.39
"St19_1-ch1_BA84male.converted.ANA",11,21372.92
"St19_1-ch1_BA84male.converted.ANA",7,21378.06
"St19_1-ch1_BA84male.converted.ANA",11,22131.96
"St19_1-ch1_BA84male.converted.ANA",7,22153.1
"St19_1-ch1_BA84male.converted.ANA",11,22239.41
"St19_1-ch1_BA84male.converted.ANA",7,22245.38
"St19_1-ch1_BA84male.converted.ANA",2,22339.8
"St19_1-ch1_BA84male.converted.ANA",7,22464.99
"St19_1-ch1_BA84male.converted.ANA",11,22883.71
"St19_1-ch1_BA84male.converted.ANA",7,22889.89
"St19_1-ch1_BA84male.converted.ANA",2,23023.04
"St19_1-ch1_BA84male.converted.ANA",7,23032.11
"St19_1-ch1_BA84male.converted.ANA",11,23037.95
"St19_1-ch1_BA84male.converted.ANA",7,23042.86
"St19_1-ch1_BA84male.converted.ANA",11,23208.95
"St19_1-ch1_BA84male.converted.ANA",7,23214.07
"St19_1-ch1_BA84male.converted.ANA",2,23321.5
"St19_1-ch1_BA84male.converted.ANA",7,23683.57
"St19_1-ch1_BA84male.converted.ANA",2,24008.04
"St19_1-ch1_BA84male.converted.ANA",7,24041.88
"St19_1-ch1_BA84male.converted.ANA",2,24121.39
"St19_1-ch1_BA84male.converted.ANA",7,24146.61
"St19_1-ch1_BA84male.converted.ANA",11,24151.66
"St19_1-ch1_BA84male.converted.ANA",7,24158.15
"St19_1-ch1_BA84male.converted.ANA",2,24188.21
"St19_1-ch1_BA84male.converted.ANA",7,24219.69
"St19_1-ch1_BA84male.converted.ANA",2,24229.2
"St19_1-ch1_BA84male.converted.ANA",7,24285.94
"St19_1-ch1_BA84male.converted.ANA",2,24390.81
"St19_1-ch1_BA84male.converted.ANA",7,24420.49
"St19_1-ch1_BA84male.converted.ANA",2,24520.67
"St19_1-ch1_BA84male.converted.ANA",7,24607.96
"St19_1-ch1_BA84male.converted.ANA",11,25624.8
"St19_1-ch1_BA84male.converted.ANA",7,25634.32
"St19_1-ch1_BA84male.converted.ANA",11,25785.68
"St19_1-ch1_BA84male.converted.ANA",7,25796.88
"St19_1-ch1_BA84male.converted.ANA",99,28800
"St19_1-ch3_BRA20male.converted.ANA",1,41.99
"St19_1-ch3_BRA20male.converted.ANA",2,102.32
"St19_1-ch3_BRA20male.converted.ANA",1,234.74
"St19_1-ch3_BRA20male.converted.ANA",2,271.1
"St19_1-ch3_BRA20male.converted.ANA",7,389.15
"St19_1-ch3_BRA20male.converted.ANA",11,585.97
"St19_1-ch3_BRA20male.converted.ANA",7,594.6
"St19_1-ch3_BRA20male.converted.ANA",11,692.58
"St19_1-ch3_BRA20male.converted.ANA",7,696.79
"St19_1-ch3_BRA20male.converted.ANA",11,722.02
"St19_1-ch3_BRA20male.converted.ANA",7,724.94
"St19_1-ch3_BRA20male.converted.ANA",11,1199.62
"St19_1-ch3_BRA20male.converted.ANA",7,1204.02
"St19_1-ch3_BRA20male.converted.ANA",11,1412.5
"St19_1-ch3_BRA20male.converted.ANA",7,1420.01
"St19_1-ch3_BRA20male.converted.ANA",11,1496.22
"St19_1-ch3_BRA20male.converted.ANA",7,1501.96
"St19_1-ch3_BRA20male.converted.ANA",11,1565.71
"St19_1-ch3_BRA20male.converted.ANA",7,1569.81
"St19_1-ch3_BRA20male.converted.ANA",2,1685.48
"St19_1-ch3_BRA20male.converted.ANA",7,1823.86
"St19_1-ch3_BRA20male.converted.ANA",11,1848.46
"St19_1-ch3_BRA20male.converted.ANA",7,1854.6
"St19_1-ch3_BRA20male.converted.ANA",11,1889.47
